id,Chicken,Eggs,Strawberries,Avocado,Milk,Cereal,Ice Cream,Chips,Shampoo,Toilet Paper,Grapes,Soda,Laundry Detergent,Cucumber,Yogurt,Pork,Spinach,Dog Food,Bread,Cookies
5422346757,5,2,0,2,3,2,4,3,5,0,3,3,3,2,5,2,4,1,2,4
9397651272,2,3,5,2,1,4,0,2,2,3,0,2,5,3,4,3,1,5,0,4
9495272400,0,4,3,4,5,1,1,4,4,5,5,3,0,3,0,0,5,0,5,4
2847526226,3,1,4,3,2,0,5,2,0,0,4,0,2,0,2,4,2,0,0,3
9289610711,3,4,1,4,3,0,5,1,2,0,5,1,1,2,2,3,4,0,4,5
8980736197,2,5,1,0,4,4,0,0,1,2,5,5,4,5,2,5,5,0,2,3
2836323768,0,5,2,5,2,2,0,1,2,3,1,0,0,0,2,5,0,1,3,1
5046867930,1,2,1,1,5,4,1,0,3,0,4,3,5,1,0,2,3,1,4,0
3987622475,0,3,0,5,5,3,4,3,0,1,4,3,4,3,4,3,2,0,2,0
7749721598,1,1,5,5,5,1,1,5,1,3,4,2,5,0,0,0,4,1,4,5
1861235386,4,0,2,4,1,0,0,2,1,1,0,1,4,3,5,2,2,2,2,3
8260779641,5,4,2,3,3,4,1,0,2,0,1,2,5,3,4,2,0,0,2,3
3788278777,4,3,0,1,1,4,2,2,3,5,4,0,1,5,5,0,3,2,3,1
6514160297,3,3,1,2,2,0,2,3,3,1,3,2,0,5,4,4,5,4,2,5
1641383570,1,2,0,0,0,1,5,5,3,1,1,1,5,1,0,0,0,5,5,1
6879461246,4,3,1,5,3,2,4,3,1,0,2,2,1,4,5,3,2,1,0,3
4073304461,2,2,1,5,3,3,1,1,5,2,2,3,3,4,0,4,3,5,0,4
8240555910,0,2,4,3,3,0,5,3,1,1,5,4,5,5,3,3,5,3,4,3
6492992628,5,5,0,4,2,2,4,1,3,5,2,4,4,2,5,2,5,1,5,5
2359405167,4,4,0,5,3,2,3,0,5,3,1,1,0,5,5,4,0,2,2,1
8744970402,2,4,0,0,4,1,5,3,0,2,3,4,0,5,4,5,5,1,0,0
7894473311,2,0,5,0,4,0,0,4,5,0,4,5,2,2,3,3,5,4,2,2
5239284586,0,2,1,2,5,5,4,2,1,4,5,2,3,0,5,0,2,0,5,4
2299830763,5,3,0,3,5,5,5,5,0,2,3,1,0,0,2,0,1,3,1,1
3975735688,5,2,4,2,2,1,2,1,5,3,0,0,2,3,4,3,1,2,1,0
4110486285,4,3,5,0,1,2,1,1,1,0,2,2,0,0,4,4,3,3,0,4
1378261913,5,0,4,3,5,0,3,0,5,1,5,4,3,4,3,4,1,1,2,3
9451896011,2,0,2,4,5,3,2,4,5,1,0,2,0,2,1,3,1,2,2,4
9188533541,2,2,4,5,4,3,2,5,3,3,5,2,4,2,4,3,0,0,5,4
4797192404,1,5,0,3,5,1,1,1,1,2,4,1,3,0,2,3,1,5,2,4
8414852995,4,0,0,3,3,0,1,4,4,0,4,5,2,5,0,5,0,4,0,1
2804581756,5,5,1,1,1,0,2,2,5,3,3,2,4,2,3,2,5,5,4,2
7668425014,2,1,4,1,5,4,4,2,3,4,3,0,0,2,1,3,2,1,0,4
4369691955,3,2,1,4,3,0,5,1,0,5,0,4,0,1,3,5,3,1,5,1
1340827759,3,5,4,5,5,4,0,5,5,1,5,4,2,0,4,2,0,3,5,0
9167632198,2,5,1,2,3,2,3,0,2,4,3,0,0,1,5,4,4,2,3,3
4222062957,3,3,3,0,5,4,4,0,3,3,4,1,4,3,3,5,4,4,4,4
5947957605,5,5,1,5,1,4,3,4,2,2,5,0,1,5,3,4,0,2,1,3
1692452090,1,3,1,2,2,4,4,1,5,0,1,1,1,2,4,5,3,1,3,5
5611814549,1,3,0,1,5,0,2,3,5,1,5,1,2,0,5,0,5,5,5,5
2623280085,4,3,3,5,4,2,1,0,1,2,4,1,2,4,1,2,0,4,2,1
3517882477,2,2,4,5,1,1,5,3,5,5,4,2,0,4,3,5,3,5,0,0
9293891208,1,2,5,1,5,2,3,3,0,0,2,1,0,4,0,0,1,1,2,2
7983093738,2,0,0,0,1,1,2,0,2,5,0,5,4,1,4,2,2,3,4,0
4224649124,5,5,4,3,4,0,3,4,1,5,2,1,3,5,1,5,2,5,5,0
5395111241,4,4,5,4,4,5,3,3,3,2,1,1,2,0,0,5,3,5,3,3
5849320642,4,0,2,4,0,1,4,0,0,4,3,1,0,4,1,2,3,0,2,3
4191422009,1,5,0,4,0,0,1,5,1,5,0,5,0,3,3,2,4,2,0,3
7401505123,0,4,1,0,1,0,3,4,5,4,5,5,5,5,2,2,2,2,1,2
5316472018,5,0,5,1,2,3,0,2,0,4,1,4,4,3,2,3,3,0,4,4
2474465112,1,5,5,5,2,5,2,0,0,5,5,4,1,2,3,2,5,3,2,1
5718540613,4,2,5,2,3,2,3,4,5,2,5,2,1,4,0,1,2,5,3,1
1805515632,5,2,4,2,4,2,1,1,1,1,0,1,4,2,4,4,3,3,2,0
8450158096,4,0,2,3,5,0,1,1,0,5,5,3,2,0,2,2,0,5,0,4
6548357200,0,0,4,0,4,5,5,1,1,1,4,0,4,0,0,4,1,5,5,2
8762887068,5,5,5,1,3,1,5,0,3,3,0,3,3,0,4,0,2,2,4,4
1864288745,0,1,5,0,2,0,2,0,5,4,2,4,3,0,3,2,2,1,0,0
5521228504,2,0,4,0,4,4,0,4,3,1,0,3,1,5,2,5,3,1,5,3
2396817654,0,3,1,4,1,2,3,0,4,4,1,4,5,0,3,3,1,3,5,0
6058544221,2,5,0,2,5,5,5,4,2,2,1,0,4,0,1,5,4,2,4,4
3422212429,2,0,5,4,4,5,5,0,5,5,0,3,3,5,2,3,2,2,1,5
7619780428,1,3,4,0,1,5,3,5,4,2,1,0,2,0,4,1,3,4,0,0
9327106314,5,3,1,0,4,3,0,1,4,4,3,1,1,3,5,4,5,4,3,0
3139177669,3,5,0,2,3,0,5,4,1,5,0,3,0,2,4,2,4,4,1,5
4221062509,3,2,5,2,3,0,3,1,3,3,0,5,2,5,5,0,1,3,4,3
7016173117,1,3,1,2,2,2,2,4,0,1,4,1,0,2,2,2,2,0,2,2
9452150159,0,4,2,4,1,0,4,3,4,0,1,2,5,1,3,1,0,3,0,5
3608936833,1,3,1,5,2,5,4,2,1,4,2,0,3,1,0,4,0,1,5,3
7353064639,1,2,5,3,0,2,0,4,0,3,1,2,0,0,0,3,5,0,1,3
1464364462,2,2,5,5,0,1,0,3,5,3,2,5,5,0,2,3,1,4,0,5
1724920842,4,2,3,3,0,5,5,1,5,2,2,1,3,4,2,1,3,5,5,1
3278013816,0,1,1,4,2,1,1,3,1,1,4,5,5,4,1,2,2,3,2,5
1976185223,0,3,5,4,4,3,2,2,2,5,3,1,1,3,4,4,5,2,3,5
2364894220,2,0,1,3,2,1,4,1,3,3,3,3,0,2,0,3,0,4,5,4
4532164490,5,1,0,3,2,2,0,1,5,3,0,2,3,0,4,5,1,3,1,3
4393400787,0,4,2,3,1,4,1,0,5,4,0,2,1,5,0,4,2,5,0,4
8744166262,2,3,0,4,2,2,2,5,2,3,2,0,1,1,5,1,0,2,4,3
6560995924,1,2,2,2,5,1,4,4,3,1,0,3,0,1,5,1,1,3,0,1
5990981816,4,2,2,5,3,4,2,5,0,1,5,2,1,4,5,0,5,3,4,4
5186996531,4,4,4,4,0,1,5,3,4,1,4,1,3,0,5,0,0,1,1,2
7561497799,0,3,4,4,1,1,5,2,3,3,4,0,4,0,4,1,3,2,3,2
9295063531,0,4,4,1,4,1,3,5,4,5,2,5,5,4,0,2,3,2,5,3
6433660145,0,3,3,0,4,5,0,3,3,2,2,2,5,0,5,5,0,3,1,5
9567937282,1,1,3,3,3,2,1,4,0,4,3,0,3,3,1,5,0,2,3,5
6957776205,2,1,0,4,5,4,2,3,0,0,2,1,2,4,4,0,2,3,1,3
2342914108,1,2,0,3,0,2,4,1,2,4,3,2,4,4,5,4,1,2,4,3
3228807807,0,4,4,1,3,2,4,1,5,5,3,3,0,4,5,2,2,4,0,2
9238116984,1,2,0,4,0,0,2,3,0,5,0,4,5,4,4,3,3,3,5,3
5698294570,2,1,3,3,4,4,0,2,0,5,3,0,1,0,3,0,2,0,1,2
6100809191,0,2,0,5,5,2,3,0,0,4,1,0,1,5,1,3,4,0,1,3
5922439723,1,3,4,3,2,5,0,0,2,5,3,2,2,3,4,2,5,0,0,3
7054436734,0,0,4,5,4,3,2,0,5,2,5,5,0,5,4,3,3,0,5,4
7593299135,2,2,2,5,4,4,5,2,2,2,3,1,2,1,1,0,5,4,2,4
4119954913,1,1,2,1,1,0,2,0,0,0,0,3,4,3,5,2,5,0,3,5
6952777681,0,1,0,4,1,4,1,4,0,4,3,3,0,5,1,3,2,1,4,3
4437950033,3,5,4,1,1,3,3,2,3,3,1,1,1,0,1,5,3,5,1,0
3957630093,0,4,4,5,0,4,0,3,4,1,3,4,2,4,4,1,4,0,1,0
8383409134,1,4,4,4,3,5,2,0,1,1,5,0,4,0,0,0,1,4,4,0
9486527207,3,5,0,4,3,4,2,0,1,5,0,0,0,0,4,1,1,3,2,4
3316312905,0,1,3,2,0,2,1,2,4,5,5,1,5,4,5,2,5,2,0,5
7016471090,1,4,5,3,5,2,1,2,2,1,3,3,3,4,0,0,2,4,1,4
5211126014,1,2,0,0,3,3,1,0,3,2,2,3,3,2,1,2,0,3,2,2
3576587406,0,0,3,5,0,1,0,3,1,1,2,5,5,2,2,5,5,2,1,3
7906826315,5,5,4,1,5,4,1,5,0,0,5,1,5,2,0,0,2,4,5,5
4577980672,2,0,3,1,5,1,5,1,5,2,4,4,4,3,2,2,2,1,0,1
4225818527,1,5,1,4,3,5,4,2,1,4,3,3,3,1,0,4,0,5,4,4
3945035358,1,4,5,2,3,2,3,3,4,5,4,5,0,1,0,5,2,1,2,1
5024788589,5,2,2,4,2,5,5,5,2,0,5,0,3,2,1,1,5,2,5,1
2401576999,3,3,0,4,4,0,3,1,1,1,2,0,3,0,3,4,2,3,3,4
3511041586,5,1,5,4,1,0,3,0,1,5,4,0,0,5,5,2,2,3,3,0
8786160462,2,5,2,5,3,1,0,4,2,2,0,4,4,1,2,1,1,1,5,5
3196385152,5,1,0,1,5,4,4,1,2,4,0,5,4,0,0,4,3,5,4,1
4555943427,0,5,0,4,0,0,5,5,1,0,1,1,0,0,0,2,5,4,2,1
8758145939,3,2,2,2,3,3,4,2,0,3,1,1,4,4,2,1,2,1,3,4
2589115705,5,3,0,5,3,3,5,3,3,5,0,0,1,4,4,3,2,4,5,2
8783774995,0,4,4,1,1,0,4,0,3,5,3,5,0,5,0,5,3,2,2,4
6859020194,0,1,2,1,4,3,0,5,4,2,3,5,0,2,3,4,1,0,1,0
4782596920,0,4,2,0,5,5,5,2,1,5,2,1,2,5,1,0,4,0,3,1
7824948433,0,0,5,4,1,2,1,0,1,5,3,4,4,5,5,2,5,2,0,5
3334352437,2,4,0,0,4,3,5,1,4,4,5,3,1,0,5,4,5,1,4,2
4877109610,1,0,4,0,0,5,0,5,5,0,0,5,4,3,2,4,5,0,1,2
6358973899,5,1,1,0,4,1,5,4,2,1,2,0,5,5,0,3,1,5,4,5
4983078198,4,4,4,3,2,1,3,3,2,2,2,4,0,2,1,5,5,2,3,1
1632997414,5,2,4,4,3,2,3,0,2,1,4,2,5,2,0,4,0,1,3,4
4308660012,5,0,5,2,0,2,0,4,5,5,0,1,0,2,4,1,4,1,0,3
1483757299,3,1,2,2,5,4,4,2,1,2,4,2,3,1,0,1,5,4,5,5
6284512592,1,1,4,1,1,5,5,0,4,5,5,0,0,5,3,1,2,4,4,2
9054165188,1,5,1,0,5,5,0,4,2,5,2,2,4,2,1,4,0,4,0,3
4130983046,1,1,3,2,4,2,5,4,0,0,3,5,1,2,1,0,2,4,4,3
3288594163,5,2,4,4,3,4,0,5,0,5,0,0,3,5,2,4,1,1,4,1
9845007277,1,3,1,4,0,3,3,5,3,2,0,3,4,3,2,3,1,0,4,5
7276802432,2,0,4,0,5,2,2,0,2,5,3,0,2,1,3,2,1,3,5,3
8090707631,0,5,3,4,0,3,4,1,3,0,4,5,0,4,5,0,5,1,2,3
7290111982,4,4,4,5,0,2,1,2,5,2,4,0,0,1,3,1,5,0,3,0
6638881663,0,2,3,1,0,4,4,3,3,1,3,4,4,5,4,2,4,2,5,4
9581208078,0,1,3,4,1,0,0,5,3,0,5,1,2,0,5,1,0,3,2,5
5562015972,5,3,1,5,2,5,4,5,1,0,0,0,3,3,1,3,4,2,2,2
2742658561,1,2,1,2,3,5,0,4,2,0,2,2,5,0,1,1,2,5,5,5
2400390328,4,3,1,0,1,3,1,5,3,5,0,4,2,3,3,5,5,4,4,5
4323662158,5,0,0,2,3,1,3,5,3,0,2,1,0,2,1,3,4,3,1,0
1244380026,0,2,5,1,5,4,2,0,2,5,1,0,3,5,2,5,1,5,5,1
5154379175,0,2,3,1,5,5,3,0,4,3,3,1,4,1,3,3,1,3,0,1
2314780902,1,4,1,1,2,3,3,2,3,4,2,3,1,3,0,0,3,3,2,1
3922959715,5,4,4,3,2,0,1,4,5,2,3,0,1,1,0,5,2,3,1,2
5609742993,1,2,1,2,0,0,3,3,1,2,1,4,5,2,1,0,2,0,0,2
9162153524,4,1,3,0,5,4,4,4,3,3,4,0,4,2,5,0,2,2,4,2
1319817109,4,5,4,0,1,3,2,3,1,5,4,3,1,5,2,5,5,3,4,1
7979992461,4,1,2,5,2,5,1,2,0,2,5,3,3,5,2,1,5,0,1,3
1401314991,1,3,1,2,4,4,3,1,4,0,5,3,4,4,1,1,3,1,5,4
9705498603,4,4,1,1,3,1,3,0,0,0,2,5,2,4,4,0,4,3,2,3
6555549170,5,2,3,0,3,1,0,5,4,2,2,0,2,1,5,4,1,5,4,4
5827566378,1,1,2,3,3,5,3,1,2,1,1,2,3,4,5,5,5,2,2,0
1186051285,4,0,3,2,1,0,0,0,3,3,2,1,0,0,1,5,1,5,4,3
2166172391,2,3,0,1,2,1,5,3,3,3,0,2,5,0,1,4,5,4,2,5
6987857312,3,0,0,5,4,2,5,2,5,4,5,0,0,2,5,5,2,2,1,3
3150301372,5,3,0,1,4,5,5,1,5,2,2,5,2,0,0,3,2,4,4,1
7968506142,1,5,3,2,3,5,4,2,2,5,4,4,3,4,3,1,4,2,5,4
4836516865,4,4,4,5,4,2,4,3,3,4,5,1,2,4,2,3,5,0,1,4
9681028763,2,0,0,1,5,1,4,2,0,3,2,1,5,5,3,0,3,4,3,4
6503838787,0,3,1,0,4,5,2,3,2,4,5,1,2,4,1,5,3,5,1,1
8186491521,2,0,2,3,0,2,0,0,5,0,1,2,0,5,5,1,5,5,0,1
4362499719,3,3,3,3,5,3,5,3,3,3,1,0,4,2,0,5,2,1,0,1
2319821911,4,5,3,5,0,5,5,2,5,2,4,3,5,1,4,5,2,5,1,0
3933603101,2,1,3,0,2,2,1,0,0,3,3,5,2,5,0,1,0,0,3,1
7987927517,2,0,2,2,2,2,4,5,4,5,3,0,5,2,3,2,1,4,0,3
3018500402,4,1,5,3,5,3,0,3,0,4,2,2,1,5,3,2,0,4,1,2
9663118901,3,4,1,5,3,0,3,0,3,5,3,1,2,1,3,2,3,5,4,2
7455501542,0,4,4,3,2,2,5,4,3,1,0,1,1,3,2,0,1,3,0,2
6379878431,3,1,3,4,4,3,2,5,2,4,4,5,5,4,1,2,1,0,5,4
2415868161,2,0,0,0,5,0,5,1,2,4,4,1,3,3,0,0,5,1,1,3
6965209730,5,0,0,2,5,4,2,1,5,2,4,0,3,2,4,1,3,0,3,3
9339435006,3,1,0,4,1,0,0,0,4,3,5,2,0,1,5,1,1,4,5,0
8096545264,4,2,4,0,0,0,2,1,5,1,0,4,3,5,0,3,1,4,4,5
2082295849,0,3,0,4,4,4,3,1,0,1,3,1,3,3,2,1,4,3,3,0
5838232006,0,2,1,5,1,1,0,5,5,4,2,0,2,0,3,1,1,0,5,4
8547876596,3,1,1,1,0,0,1,0,5,3,3,0,5,0,2,5,4,1,4,0
8023294055,0,1,0,0,0,2,4,4,4,1,1,3,2,4,1,4,3,1,2,3
6545065450,2,0,1,1,2,0,2,2,2,5,2,2,2,3,5,3,2,2,2,0
7295521438,5,1,1,5,4,4,2,4,4,0,0,2,3,1,0,4,0,4,0,4
3835309695,5,1,4,0,1,5,1,0,0,1,1,4,2,5,5,5,0,5,5,0
7766995255,4,2,5,2,1,3,0,4,2,3,0,4,2,2,5,2,3,2,1,4
1597858240,1,5,0,5,4,3,1,4,4,1,1,0,2,2,4,2,4,4,0,5
4284109485,2,5,5,1,3,1,1,2,4,2,3,2,0,3,0,1,0,4,4,3
2718216584,4,0,2,2,0,3,0,5,4,2,5,0,1,0,1,3,4,0,5,2
2009888943,0,5,0,1,4,1,1,0,3,0,5,0,5,2,1,3,0,4,1,1
2245515927,5,2,3,4,3,3,2,5,1,3,1,0,1,5,3,0,1,2,0,3
3300155724,5,3,0,5,5,1,0,4,3,4,3,0,5,4,4,5,5,2,4,5
6646789808,0,2,3,1,3,1,0,2,5,4,1,4,5,0,1,0,2,4,0,4
2183185763,5,5,2,4,4,4,3,1,0,2,4,0,1,2,1,1,3,4,3,1
5978424694,4,3,2,4,5,5,1,0,4,2,0,1,3,2,3,3,0,3,3,0
2860670188,1,5,2,4,2,1,5,0,2,4,1,2,4,2,2,2,0,2,5,1
8290271092,5,3,1,4,5,5,1,5,4,5,5,2,0,2,5,4,0,4,1,1
9859321316,2,5,0,1,3,4,1,3,1,0,4,5,3,4,1,4,5,2,1,1
8435683340,0,4,4,3,5,2,5,0,3,5,3,2,0,2,2,2,1,0,1,0
1552819885,5,3,3,1,1,4,3,0,4,5,4,0,2,0,4,0,1,4,5,0
3772384473,3,5,4,0,5,4,2,1,1,2,4,1,2,0,3,2,0,0,3,2
6100733338,0,2,3,4,1,1,5,5,4,3,1,1,5,0,5,5,2,3,4,4
4250169600,5,2,0,4,0,3,0,1,0,2,0,2,1,2,2,3,0,0,3,5
3974648939,1,2,2,5,2,5,4,5,1,2,0,4,4,4,3,4,2,2,3,3
2532571217,1,3,1,4,3,3,2,5,3,0,4,1,5,0,3,4,4,1,4,2
3525670525,4,5,5,1,2,4,0,5,0,1,3,5,0,5,4,4,3,3,5,3
4986557496,2,5,4,2,5,2,0,0,4,2,5,3,0,2,3,0,3,5,3,0
9798374022,5,3,5,3,4,4,4,0,3,0,1,4,2,1,0,5,2,5,4,4
7056337830,4,5,0,3,2,4,3,3,5,2,2,4,1,5,0,1,5,3,2,1
4629728626,1,0,5,3,1,4,0,2,5,5,3,3,1,4,2,1,5,1,0,4
1284255512,0,4,3,0,3,1,4,0,0,5,3,4,3,2,3,2,3,1,0,1
4874801564,3,0,5,0,1,5,0,5,5,2,2,2,4,1,5,2,2,5,2,2
9630285147,0,4,1,0,1,0,3,2,0,1,4,1,4,1,0,1,3,4,2,5
1887870543,5,4,3,5,0,3,4,0,4,0,0,1,0,4,3,2,3,0,5,3
4933468561,3,1,2,0,1,3,3,2,1,0,5,5,2,3,1,0,4,3,2,4
9759861159,4,1,1,0,0,0,4,5,4,5,1,5,2,0,5,0,3,1,5,3
1266731627,3,2,4,5,2,1,4,0,0,1,2,5,5,0,2,4,1,0,4,1
6652161596,0,3,4,5,2,3,4,3,1,2,5,0,4,2,4,3,3,0,4,1
3684876281,3,2,3,5,4,0,4,5,2,2,3,3,4,1,4,4,2,3,2,5
3701752128,2,0,0,2,0,2,4,5,4,0,1,3,0,3,5,1,0,2,1,2
1209815709,3,5,2,5,0,0,2,4,1,0,1,1,0,0,3,2,0,0,2,3
1941737567,2,4,1,3,3,0,3,0,3,3,1,2,5,3,4,2,3,1,2,5
2684227736,0,4,1,5,1,2,4,5,1,5,4,5,1,4,5,2,1,4,5,2
1154931020,5,3,5,2,4,3,3,2,5,5,4,2,2,2,5,1,5,5,1,4
4872817084,0,0,5,4,1,5,0,5,2,5,1,2,5,2,5,3,3,5,1,0
7106676874,5,3,0,3,3,4,4,0,4,5,1,1,2,3,4,4,1,3,3,2
6723276171,0,5,2,3,5,2,2,0,4,3,0,1,4,5,4,0,5,5,0,5
3082366684,3,2,1,0,5,2,5,0,4,4,0,5,5,4,2,2,5,4,2,4
2938711664,2,1,3,0,4,5,0,4,4,4,0,5,5,1,3,0,3,2,2,1
8783985037,5,0,0,1,2,2,2,1,5,0,0,5,3,4,3,3,5,4,4,1
1358982436,3,5,0,3,1,0,0,4,2,3,0,5,3,4,4,4,3,2,4,3
5290765034,3,5,0,4,2,3,0,3,1,3,2,5,3,1,0,2,3,5,1,3
8528208097,2,2,4,5,0,3,0,3,2,3,0,0,5,2,3,1,1,0,5,3
5541797408,4,1,1,1,5,0,4,1,1,5,2,1,1,0,2,0,3,1,0,3
4668580041,2,2,0,4,2,0,1,5,1,2,0,2,4,4,3,0,2,2,4,3
7777472474,0,4,0,3,4,5,5,3,1,2,4,5,0,4,2,0,2,4,0,5
4290482681,4,1,3,5,0,3,0,3,5,2,4,1,1,0,5,1,5,0,2,0
8364805111,2,3,0,2,2,2,2,0,5,4,5,5,5,1,0,3,4,1,1,5
5810021651,2,1,2,1,4,0,5,5,2,1,0,1,4,5,1,4,0,2,5,2
2186120826,0,0,5,4,2,1,2,2,5,1,4,3,3,5,1,2,2,2,4,2
6544501259,1,0,3,1,5,0,4,4,5,1,1,0,5,2,1,4,0,0,2,4
8785918200,5,1,0,2,4,1,2,4,4,5,3,3,5,1,0,1,1,4,4,4
4965468484,4,2,2,1,1,1,3,3,1,5,4,0,5,3,4,2,2,1,3,2
4545723750,0,5,1,0,1,0,4,4,4,4,4,1,1,1,4,0,2,1,2,0
8532231298,1,3,2,4,3,1,2,3,5,5,0,5,1,1,2,3,3,1,0,3
9874683546,5,3,5,1,0,4,5,5,0,0,5,5,4,0,0,1,3,1,0,2
1565576679,4,5,5,4,2,1,2,4,2,5,4,0,3,1,0,1,4,3,5,3
2004716698,2,2,3,0,3,2,1,2,5,0,1,5,0,3,4,1,4,1,2,3
8809259065,0,0,3,5,0,4,1,2,0,0,3,0,0,4,2,3,4,2,5,1
7597882306,2,1,2,4,0,5,3,2,4,2,0,5,2,2,5,4,5,4,2,4
1798040107,0,3,2,2,1,0,2,1,0,5,4,1,4,4,2,3,4,5,1,1
4708977729,2,4,5,5,5,3,2,0,4,0,5,0,1,3,2,4,0,2,4,0
7439317199,4,3,4,5,2,5,5,0,0,0,4,2,5,5,2,5,2,1,2,1
4131049705,3,1,2,3,0,5,0,5,2,2,0,1,5,4,2,0,4,1,4,1
2796599765,2,0,2,2,5,5,1,3,3,5,2,3,3,5,2,5,3,0,0,0
6034806521,3,3,0,5,0,1,2,2,2,5,3,5,1,5,5,3,5,4,3,4
1160931512,0,5,1,3,0,1,3,0,1,4,0,4,4,5,1,5,2,1,2,0
2635181110,5,0,1,3,2,2,5,0,0,3,4,3,5,4,3,4,2,4,4,3
6460492442,5,0,2,0,5,2,4,2,3,4,0,4,3,0,1,1,0,5,5,3
4142850808,1,1,4,1,5,1,3,3,2,0,2,3,0,4,1,4,5,3,4,3
9139667218,3,5,3,1,2,2,1,2,3,5,3,5,5,2,4,1,1,3,1,2
4065035820,0,5,5,1,2,1,0,5,1,3,3,2,5,3,3,3,0,3,3,4
7949612163,3,3,1,3,1,1,1,3,1,5,2,3,2,2,2,0,1,1,4,0
6141286786,2,3,4,0,1,0,4,3,1,5,5,2,4,1,4,2,4,4,1,5
2392983427,2,1,1,3,5,3,5,5,5,5,4,3,3,2,4,0,1,3,2,1
7301587806,5,2,3,2,4,1,5,1,0,1,2,0,5,5,4,1,5,0,3,0
1168444347,1,4,5,5,4,2,1,5,4,2,5,2,3,2,1,0,4,0,4,5
2029965869,0,2,2,3,1,2,1,5,1,4,2,1,4,0,0,3,0,0,5,1
3245439584,1,5,1,1,2,0,1,3,3,4,0,1,1,0,4,0,4,5,0,5
9838613862,0,3,1,3,1,0,2,5,0,1,4,0,2,0,4,5,3,2,4,4
1655362319,2,2,3,1,5,1,5,3,0,3,3,2,3,3,5,3,1,2,2,1
4950198761,0,1,3,4,5,2,4,5,3,2,2,5,1,1,2,1,0,3,5,3
8960789220,2,3,1,1,5,3,0,5,1,1,3,1,2,5,3,5,1,0,4,3
9524710157,4,1,5,1,3,0,4,2,1,0,4,5,0,4,1,4,5,3,4,3
1204404889,5,3,5,2,1,0,5,1,3,1,0,3,1,2,2,5,3,5,5,5
5441135888,5,1,2,5,1,3,3,1,5,3,3,5,0,5,4,1,4,2,1,3
8498782389,1,0,5,3,4,4,1,4,1,3,0,1,3,5,0,0,0,3,4,4
2231010702,0,3,4,4,5,5,2,0,5,4,5,4,1,4,5,1,1,2,2,5
5736948981,1,4,5,2,2,3,4,1,0,0,2,5,2,5,2,3,4,0,0,5
